SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
SHARDAMOTR,48509538304.0,SMALL CAP,845.0,14.373193,4.244397,0.29089,3.744,0.09828,0.101689994,0.296,0.066,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,0,0,79.5,26.66,95.46,57.01,53.08,61.95,MODERATE GROWTH
SUNDRMFAST,175593783296.0,MID CAP,835.6500244140625,29.727856,4.334217,0.14583999,14.532,0.116009995,0.094,0.106,0.297,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,39.66,74.55,78.39,62.88,57.105,61.94,MODERATE GROWTH
MEP,165101440.0,MICRO CAP,0.8999999761581421,26.454715,-0.012314429,0.11156999,29.595,-4.753069109,0.0,2.245,0.171,Misc,Industrials,Infrastructure Operations,2026-06-02,Infrastructure Operations,0,1,0,98.2,50.02,50.02,0.53,74.11,61.93,MODERATE GROWTH
POLYCAB,1422024900608.0,LARGE CAP,9445.5,53.27712,11.841749,0.24580999,2.558,0.12951,0.09251001,0.269,0.08,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,0,0,77.27,27.53,92.99,66.41,52.4,61.92,MODERATE GROWTH
MOLDTKPAC,23442999296.0,SMALL CAP,705.5,32.15588,3.398526,0.10976,31.851,0.13595,0.08219,0.174,0.268,Misc,Consumer Cyclical,Packaging & Containers,2026-06-02,Packaging & Containers,0,1,0,66.29,72.83,31.75,68.25,69.56,61.87,MODERATE GROWTH
JAGSNPHARM,13428501504.0,SMALL CAP,200.00999450683594,31.697306,5.0765247,0.16695,2.956,0.13769001,0.14998999,0.096,0.238,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-02,Drug Manufacturers - Specialty & Generic,0,0,0,38.25,71.3,83.2,68.91,54.775,61.87,MODERATE GROWTH
JKPAPER,65057173504.0,SMALL CAP,358.79998779296875,24.491467,1.1791189,0.047810003,44.544,0.08992,0.03757,0.224,0.591,Misc,Basic Materials,Paper & Paper Products,2026-06-02,Paper & Paper Products,0,1,0,73.1,82.65,15.78,41.86,77.875,61.85,MODERATE GROWTH
KFINTECH,144625532928.0,MID CAP,837.8499755859375,41.80888,8.646453,0.22312,3.314,0.29232,0.26409,0.277,-0.05,Technology,Technology,Software - Application,2026-06-02,SaaS,0,0,0,78.09,20.79,91.82,88.65,49.44,61.84,MODERATE GROWTH
NURECA,2406136064.0,MICRO CAP,240.64999389648438,21.837566,1.3984855,0.11156999,2.713,0.06937,0.074260004,0.498,0.171,Healthcare,Healthcare,Medical Devices,2026-06-02,Medical Devices,0,1,0,88.37,50.02,50.02,33.87,69.19500000000001,61.83,MODERATE GROWTH
BHARATSE,11410759680.0,SMALL CAP,181.6999969482422,27.03869,4.969369,0.1991,47.94,0.03551,0.02165,0.462,0.166,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,87.45,32.28,88.61,21.91,59.865,61.82,MODERATE GROWTH
