SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE
MERCANTILE,0.0,UNKNOWN,0.0,0.9935769,0.0,0.0,0.00931,0.12807,0.368,0.471,29.7,OTHERS,,,2026-05-11,36.8,47.1,41.95,521,0.0,0.931,12.807,0.0,3.48105,949,57.73,13.13,4.19,0.05,25.187,639,1483.193938687584,84,UNDERVALUED,42.27386934673367,18.090452261306535,93.27889447236181,42.801507537688444,82.87269681742043,79.43886097152428,81.15577889447235,,77.29982964224872,,77.15661641541038,61.892797319933,69.5247068676717,,1960,WEAK
NILE,0.0,UNKNOWN,0.0,2.0999537,0.0,6.227,0.0709,0.051209997,0.253,0.443,1851.0,OTHERS,,,2026-05-11,25.3,44.3,34.8,595,0.0,7.090000000000001,5.1209997,6.227,2.7845499250000003,1032,56.47,7.16,3.76,7.81,22.0715,1199,1383.2860292586452,87,UNDERVALUED,42.27386934673367,41.66666666666667,66.95979899497488,46.96817420435511,73.9321608040201,78.81072026800669,76.3714405360134,,54.59965928449745,,73.78559463986599,27.763819095477388,50.77470686767169,,1961,WEAK
AVAILFC,0.0,UNKNOWN,0.0,0.1249696,0.0,0.0,0.52229,202.59247,0.065,0.33,154.63,OTHERS,,,2026-05-11,6.5,33.0,19.75,870,0.0,52.229000000000006,20259.247,0.0,5080.48045,3,47.44,10.39,2.99,9.46,19.5225,1613,1270.0583821985506,89,UNDERVALUED,42.27386934673367,94.63986599664992,93.27889447236181,73.42127303182579,43.027638190954775,74.97906197654942,59.003350083752096,,94.71890971039181,,47.31993299832496,44.597989949748744,45.958961474036855,,1962,WEAK
BUILDPRO,26577260544.0,SMALL CAP,0.0,5.5465026,0.0,18.635,0.0312,0.0,0.291,0.388,1096.0,FMCG,Consumer Cyclical,Home Improvement Retail,2026-05-11,29.1,38.8,33.95,602,0.0,3.12,0.0,18.635,-0.9275000000000004,1495,47.53,8.39,6.93,2.85,20.6,1430,1209.4088138352265,92,UNDERVALUED,42.27386934673367,24.916247906197654,52.38693467336684,37.3534338358459,77.70100502512562,77.07286432160804,77.38693467336682,,21.80579216354344,,47.52931323283082,33.89865996649916,40.71398659966499,,1963,WEAK
CINELINE,2927724032.0,MICRO CAP,0.0,2.0189514,0.0,71.321,0.14673,-0.02085,0.062,0.373,85.44,OTHERS,Communication Services,Entertainment,2026-05-11,6.2,37.3,21.75,835,0.0,14.673,-2.085,71.321,-3.251450000000001,1699,64.58,11.99,9.59,9.11,27.6865,368,1173.859198690964,95,UNDERVALUED,42.27386934673367,68.46733668341709,20.89614740368509,48.47571189279733,42.39949748743719,76.59128978224456,59.49539363484087,,56.38841567291312,,98.11557788944724,55.653266331658294,76.88442211055276,,1964,WEAK
KLBRENG-B,0.0,UNKNOWN,0.0,4.4432635,0.0,18.541,0.21106,0.16195999,0.448,0.338,505.95,OTHERS,,,2026-05-11,44.8,33.800000000000004,39.3,550,0.0,21.106,16.195999,18.541,8.526699749999999,544,60.33,9.07,2.78,7.46,23.7855,882,1060.7517940360729,100,UNDERVALUED,42.27386934673367,79.81574539363484,52.428810720268004,59.321608040201006,85.9715242881072,75.18844221105527,80.57998324958123,,27.725724020442932,,84.94556113902848,36.767169179229484,60.856365159128984,,1965,WEAK
SIKA,0.0,UNKNOWN,0.0,0.0,0.27666,2.561,0.22525999,0.169,0.325,0.329,981.7,OTHERS,,,2026-05-11,32.5,32.9,32.7,623,27.666,22.525999,16.900000000000002,2.561,20.4097997,173,41.35,12.69,2.43,0.71,18.816,1753,1057.0,101,UNDERVALUED,97.78056951423785,81.36515912897822,74.87437185929649,86.63316582914572,80.44388609715243,74.91624790619765,77.68006700167504,,,,29.731993299832492,59.526800670016755,44.629396984924625,,1966,WEAK
MONEYBOXX,5189615616.0,SMALL CAP,0.0,1.7557036,0.0,246.36,0.01505,-0.038110003,0.092,0.333,74.34,OTHERS,Financial Services,Credit Services,2026-05-11,9.2,33.300000000000004,21.25,840,0.0,1.505,-3.8110003,246.36,-25.137250075000004,2225,61.35,10.75,3.4,3.56,25.1915,637,1056.0871666493138,102,UNDERVALUED,42.27386934673367,19.34673366834171,4.899497487437186,25.62814070351759,47.96901172529313,75.06281407035176,61.515912897822446,,61.11584327086882,,88.17001675041875,47.02680067001675,67.59840871021775,,1967,WEAK
HALDYNGL,0.0,UNKNOWN,0.0,2.6727865,0.0,60.125,0.08984999,0.04941,0.214,0.311,110.64,OTHERS,,,2026-05-11,21.4,31.1,26.25,728,0.0,8.984999,4.941,60.125,-2.0817503000000004,1599,46.68,10.35,3.64,8.7,19.483,1618,984.2242410682634,105,UNDERVALUED,42.27386934673367,49.66499162479062,25.125628140703515,41.800670016750416,69.82830820770519,74.30904522613065,72.06867671691792,,45.144804088586035,,44.765494137353436,44.388609715242886,44.57705192629816,,1968,WEAK
ELLEN,41829683200.0,SMALL CAP,0.0,4.529292,0.0,12.866,0.24154,0.29637,0.196,0.259,296.8,CHEMICALS,Basic Materials,Chemicals,2026-05-11,19.6,25.9,22.75,810,0.0,24.154,29.637,12.866,13.36885,323,41.47,9.41,8.39,6.62,18.773,1760,823.6235517604076,116,UNDERVALUED,42.27386934673367,82.78894472361809,58.291457286432156,61.68341708542714,67.39949748743719,71.10552763819096,69.25251256281408,,27.2572402044293,,30.27638190954774,38.379396984924625,34.32788944723618,,1969,WEAK
