SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE,PORTFOLIO_WEIGHT,PORTFOLIO_RANK
ALMONDZ,2906846464.0,MICRO CAP,9.789474,1.076735,0.0,18.84,0.17559999,0.17528,0.567,4.214,16.74,OTHERS,Financial Services,Capital Markets,2026-05-11,56.7,421.4,239.05,112,0.0,17.559999,17.528,18.84,7.765999699999998,594,56.19,14.17,4.71,4.66,24.628999999999994,740,1323.3350852480742,88,UNDERVALUED,42.27386934673367,74.87437185929649,52.09380234505863,57.27805695142379,89.25879396984925,96.27303182579564,92.76591289782245,89.92248062015504,75.51107325383305,82.71677693699405,73.19932998324958,68.40452261306532,70.80192629815745,75.71693160180418,11,STRONG,5.0,11
BFINVEST,16121744384.0,SMALL CAP,9.807516,0.22755378,0.0,0.0,0.88439006,2.48617,0.092,11.758,428.0,OTHERS,Financial Services,Asset Management,2026-05-11,9.2,1175.8,592.5,47,0.0,88.43900599999999,248.617,0.0,88.6859518,19,51.99,13.95,9.6,3.34,24.4475,767,3732.544831462767,45,UNDERVALUED,42.27386934673367,98.70184254606366,93.2788944723618,75.0460636515913,47.96901172529313,98.4924623115578,73.23073701842546,89.81912144702842,93.56899488926746,91.69405816814792,60.6574539363484,67.0644891122278,63.8609715242881,75.59404613949224,12,STRONG,5.0,12
TMB,107908603904.0,MID CAP,8.066406,1.1038487,0.13992,0.0,0.54293,0.39859,0.235,0.28,681.45,BANKING,Financial Services,Banks - Regional,2026-05-11,23.5,28.000000000000004,25.75,739,13.992,54.293,39.859,0.0,31.14985,86,32.53,20.08,10.7,0.09,20.0755,1525,136.27207203381488,383,UNDERVALUED,91.58291457286433,94.89112227805695,93.2788944723618,93.24539363484088,72.27805695142379,72.2571189279732,72.2675879396985,92.91989664082688,74.74446337308348,83.83218000695518,10.552763819095476,79.81574539363484,45.18425460636516,75.45718139502588,13,STRONG,5.0,13
OBEROIRLTY,594380587008.0,LARGE CAP,23.701609,3.550531,0.14913,15.765,0.52986,0.41727,0.521,0.624,1634.7,REALTY,Real Estate,Real Estate - Development,2026-05-11,52.1,62.4,57.25,403,14.913000000000002,52.986,41.727,15.765,29.9706,90,52.94,22.0,12.51,5.62,27.6945,366,89.1190691797876,617,UNDERVALUED,92.46231155778896,94.8073701842546,54.85762144053601,85.87939698492464,88.37939698492463,82.6214405360134,85.50041876046902,57.312661498708,34.667802385008514,45.990231941858255,63.44221105527639,83.24958123953098,73.34589614740369,75.28117034147049,14,STRONG,5.0,14
CAPITALSFB,13350848512.0,SMALL CAP,9.454809,0.93128246,0.099259995,0.0,0.38409,0.28381002,0.689,0.167,293.95,BANKING,Financial Services,Banks - Regional,2026-05-11,68.89999999999999,16.7,42.8,510,9.9259995,38.409,28.381002,0.0,22.092050325,145,21.68,14.42,8.28,4.41,13.542999999999996,2266,89.43320110080063,615,UNDERVALUED,88.2747068676717,91.66666666666666,93.2788944723618,90.6323283082077,91.49916247906198,65.80820770519263,78.6536850921273,90.80103359173124,78.62010221465077,84.71056790319102,5.234505862646566,69.9748743718593,37.604690117252936,75.24885562418929,15,STRONG,5.0,15
LLOYDSENT,109133193216.0,MID CAP,23.211039,2.2692356,0.09865,14.694,0.13791999,0.12979999,0.615,5.88,71.49,METALS,Basic Materials,Steel,2026-05-11,61.5,588.0,324.75,88,9.865,13.791999,12.979999,14.694,9.36594945,499,50.32,22.51,6.99,6.84,25.4285,599,774.9268419430579,119,UNDERVALUED,88.23283082077053,66.1641541038526,56.03015075376885,72.96482412060303,90.34757118927972,97.02680067001675,93.68718592964824,58.6046511627907,51.74616695059625,55.17540905669348,55.7998324958124,84.12897822445561,69.96440536013401,75.02356589844088,16,STRONG,5.0,16
PSB,176467214336.0,MID CAP,13.370968,1.2784661,0.096190006,0.0,0.41716,0.25620002,0.338,0.291,24.87,BANKING,Financial Services,Banks - Regional,2026-05-11,33.800000000000004,29.1,31.450000000000003,638,9.6190006,41.716,25.620002,0.0,22.28645071,138,23.6,23.86,5.5,7.67,16.026,2126,91.74788672066065,597,UNDERVALUED,87.89782244556113,93.17420435510888,93.2788944723618,91.08458961474037,81.4070351758794,73.09463986599664,77.25083752093802,82.0671834625323,69.8892674616695,75.97822546210091,5.904522613065327,85.678391959799,45.79145728643216,74.85456469041013,17,STRONG,5.0,17
SILINV,5128925696.0,SMALL CAP,11.591236,0.17819363,0.0,0.0,0.89596003,0.64116997,0.217,0.41,484.05,OTHERS,Financial Services,Asset Management,2026-05-11,21.7,41.0,31.35,640,0.0,89.596003,64.116997,0.0,42.90805015,52,51.46,12.86,7.65,0.81,23.7005,896,277.9217237429013,224,UNDERVALUED,42.27386934673367,98.785594639866,93.2788944723618,75.07956448911223,70.16331658291458,77.84757118927973,74.00544388609715,86.56330749354005,94.2504258943782,90.40686669395912,58.91959798994974,60.699329983249584,59.80946398659967,74.76876864867458,18,STRONG,5.0,18
MUTHOOTFIN,1380328931328.0,LARGE CAP,15.84205,3.8750105,0.26691,384.601,0.75657,0.51138,0.765,0.975,3438.2,OTHERS,Financial Services,Credit Services,2026-05-11,76.5,97.5,87.0,293,26.691,75.657,51.13799999999999,384.601,6.36334999999999,688,43.35,43.52,26.38,2.27,34.596500000000006,84,194.9020358284624,294,UNDERVALUED,97.61306532663316,97.36180904522614,2.3031825795644894,78.45058626465662,92.6926298157454,87.58375209380235,90.13819095477388,75.45219638242894,31.643952299829643,53.54807434112929,35.40619765494137,99.0787269681742,67.24246231155779,74.73474049636657,19,STRONG,5.0,19
BIRLAMONEY,8284249088.0,SMALL CAP,14.15058,2.7632225,0.21804,734.586,0.27535,0.17396,0.429,1.006,146.6,OTHERS,Financial Services,Capital Markets,2026-05-11,42.9,100.6,71.75,343,21.804,27.535,17.396,734.586,-53.21770000000001,2304,61.42,11.67,9.17,7.87,26.503500000000003,479,226.9611052356772,263,UNDERVALUED,96.6499162479062,85.63651591289782,0.963149078726968,73.10720268006699,85.34338358458962,87.85594639865997,86.59966499162479,80.0,43.86712095400341,61.933560477001706,88.44221105527639,53.55946398659967,71.00083752093803,74.49893990109548,20,STRONG,5.0,20
