SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE,VOLATILITY,SHARPE_RATIO,MAX_DRAWDOWN,RISK_SCORE,RISK_RANK
VSTIND,44191555584.0,SMALL CAP,15.145265,3.4867234,0.21114,0.0,0.31738,0.19955999,0.309,1.195,260.65,FMCG,Consumer Defensive,Tobacco,2026-05-11,30.9,119.5,75.2,333,21.114,31.738,19.955999,0.0,21.90029975,148,49.9,9.7,1.51,0.33,20.7195,1405,247.9528002459552,248,UNDERVALUED,96.27303182579564,88.52596314907872,93.2788944723618,92.57537688442213,79.48073701842546,89.15410385259631,84.31742043551088,77.31266149870801,35.26405451448041,56.28835800659421,54.061976549413735,40.01256281407035,47.037269681742046,73.73296473364715,26,STRONG,0.24235486383203175,-0.1176856448134074,-0.34553484025141556,170.36462007909392,148
ANANDRATHI,297230467072.0,LARGE CAP,75.72335,29.777924,0.46738997,8.25,0.40331,0.31573,0.476,0.384,3580.2,OTHERS,Financial Services,Asset Management,2026-05-11,47.6,38.4,43.0,509,46.738997,40.331,31.573,8.25,35.52619895,74,55.56,29.95,29.41,5.72,35.211499999999994,73,16.74896943965446,1448,EXPENSIVE,99.49748743718592,92.42043551088776,64.36348408710218,89.63986599664992,86.97654941373534,76.92629815745393,81.95142378559464,13.126614987080105,1.235093696763203,7.180854341921654,71.27303182579564,91.24790619765494,81.26046901172529,69.16565160540276,84,STRONG,0.281381991823861,2.8131533295984346,-0.11980781153130815,170.10152368332996,149
TATASTEEL,2645029552128.0,LARGE CAP,28.815218,2.7824352,0.0,99.699,0.09036,0.04073,0.063,7.308,212.08,METALS,Basic Materials,Steel,2026-05-11,6.3,730.8,368.55,72,0.0,9.036,4.073,99.699,-6.240850000000001,1897,56.01,44.18,13.29,3.24,35.855999999999995,61,773.0180434579739,120,UNDERVALUED,42.27386934673367,49.790619765494135,14.112227805695143,39.64824120603015,42.60887772194305,97.78056951423784,70.19472361809045,47.80361757105943,43.52640545144804,45.66501151125374,72.61306532663316,99.43467336683418,86.02386934673368,59.29066561883367,435,AVERAGE,0.265785306337101,1.504293529033575,-0.14852454125398917,169.98037138800305,150
SEIL,0.0,UNKNOWN,0.0,46.478813,0.0,8.699,-0.17316,0.08652,-0.717,0.0,216.08,OTHERS,,,2026-05-11,-71.7,0.0,-35.85,2239,0.0,-17.316000000000003,8.652,8.699,-3.901700000000001,1757,42.64,3.89,6.99,1.46,17.6925,1923,70.64545538200383,803,UNDERVALUED,42.27386934673367,7.118927973199329,63.98659966499163,32.55443886097153,2.135678391959799,40.61976549413736,21.377721943048577,,0.6388415672913117,,32.99832495812395,9.631490787269682,21.314907872696818,,2236,WEAK,0.44945556964814987,7.894383557475591,-0.0405304271010134,169.91973851965608,151
INDHOTEL,941315719168.0,LARGE CAP,47.00071,8.136073,0.0,25.013,0.3392,0.20879999,0.119,0.553,661.3,FMCG,Consumer Cyclical,Lodging,2026-05-11,11.9,55.3,33.6,606,0.0,33.92,20.879999,25.013,12.89469975,341,57.39,38.43,27.97,0.91,38.517,21,39.83567264898132,1061,EXPENSIVE,42.27386934673367,89.99162479061977,46.48241206030151,62.20268006700168,53.97822445561139,81.15577889447236,67.56700167504188,25.73643410852713,12.98977853492334,19.36310632172524,75.87939698492463,95.85427135678393,85.86683417085428,59.97689262112897,398,AVERAGE,0.24279608538088351,-0.4984573332286238,-0.29232768858997393,169.59510989427253,152
INGERRAND,139909382144.0,MID CAP,54.114773,21.520308,0.0,1.509,0.24291,0.18294,0.182,-0.074,4432.0,CAPITAL GOODS,Industrials,Specialty Industrial Machinery,2026-05-11,18.2,-7.399999999999999,5.4,1306,0.0,24.291,18.294,1.509,11.7099,387,57.76,13.65,15.74,1.18,28.128,338,-1.9691899980944032,1866,EXPENSIVE,42.27386934673367,82.91457286432161,78.22445561139028,65.72026800670017,65.03350083752095,23.366834170854272,44.20016750418761,20.62015503875969,2.2146507666098807,11.417402902684788,77.38693467336684,65.20100502512562,71.29396984924622,49.51840520365253,1107,WEAK,0.2529884348281961,0.879322128725975,-0.253070218957823,169.53022777455948,153
CHEVIOT,7437875200.0,SMALL CAP,10.628599,1.0651354,0.0,1.473,0.097959995,0.12958999,0.285,4.039,1273.2,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,28.5,403.9,216.2,127,0.0,9.7959995,12.958999,1.473,6.031249599999999,731,42.14,2.69,7.43,4.22,16.9915,2021,1171.9662295629582,96,UNDERVALUED,42.27386934673367,52.2822445561139,78.37102177554439,53.49664991624791,77.30318257956449,95.97989949748744,86.64154103852596,88.37209302325581,75.76660988074957,82.06935145200269,31.825795644891127,3.6013400335008376,17.71356783919598,61.998041144671895,295,AVERAGE,0.25307678181175075,0.8893704926370052,-0.2674550119079362,169.0901745859281,154
GLAND,316184035328.0,LARGE CAP,37.322056,3.3061142,0.0,3.161,0.19302,0.13859001,0.225,0.278,1919.1,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,22.5,27.800000000000004,25.15,764,0.0,19.302,13.859001,3.161,8.939250249999999,522,61.3,32.53,22.15,5.54,36.1975,53,32.49188484493433,1152,EXPENSIVE,42.27386934673367,77.55443886097152,73.28308207705193,62.58793969849246,71.31490787269682,72.08961474036852,71.70226130653268,35.24547803617571,37.0954003407155,36.170439188445606,87.91876046901173,92.79731993299832,90.35804020100502,65.59275617939767,180,STRONG,0.2581162591381578,1.3278311063229762,-0.23330216367155487,168.85282624287183,155
PIIND,468884357120.0,LARGE CAP,32.3644,4.330786,0.0,2.237,0.14313,0.20922,-0.276,-0.164,3090.8,OTHERS,Basic Materials,Agricultural Inputs,2026-05-11,-27.6,-16.400000000000002,-22.0,2090,0.0,14.313,20.922,2.237,9.3007,504,55.47,37.05,24.6,9.76,35.7035,66,-7.038813579896422,1926,EXPENSIVE,42.27386934673367,67.8391959798995,75.79564489112228,59.20435510887773,7.537688442211055,19.179229480737018,13.358458961474035,41.08527131782946,28.79045996592845,34.93786564187896,70.81239530988275,95.22613065326632,83.01926298157454,45.36026994579623,1359,WEAK,0.24180089960245846,-0.627790851840757,-0.3686808302692023,168.33893939674965,156
MANKIND,1019190575104.0,LARGE CAP,57.0557,6.667693,0.0,53.892,0.19534001,0.12788,0.104,0.048,2468.8,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,10.4,4.8,7.6,1229,0.0,19.534001,12.788,53.892,3.668000299999999,933,46.95,29.82,20.1,0.91,30.3125,204,7.724226139047298,1686,EXPENSIVE,42.27386934673367,77.84757118927973,27.72194304857621,53.59296482412061,50.774706867671696,57.43299832495813,54.10385259631491,19.53488372093023,16.82282793867121,18.17885582980072,45.47738693467337,91.20603015075378,68.34170854271358,49.61315810063351,1095,WEAK,0.24845966698602004,0.0732568431776087,-0.28493981981994987,168.30397806598234,157
IRB,257382170624.0,LARGE CAP,33.825397,1.2804182,0.0,102.312,0.23608999,0.11568,-0.163,-0.965,21.31,CAPITAL GOODS,Industrials,Infrastructure Operations,2026-05-11,-16.3,-96.5,-56.4,2357,0.0,23.608999,11.568,102.312,-0.2565003000000008,1416,47.0,23.24,28.26,1.96,30.291,206,-60.97419019800365,2193,EXPENSIVE,42.27386934673367,82.24455611390285,13.44221105527638,52.49581239530988,11.99748743718593,0.5862646566164154,6.291876046901173,39.12144702842377,69.80408858603067,54.46276780722722,45.64489112227806,84.79899497487438,65.22194304857622,41.57324870382401,1563,WEAK,0.24686785014062268,-0.33044533073594134,-0.2641833326579097,168.27872806093225,158
