SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
CAPLIPOINT,154151714816.0,MID CAP,2028.0,24.096956,4.3893633,0.19939,0.127,0.30898002,0.29318002,0.19,0.194,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-23,Drug Manufacturers - Specialty & Generic,1,1,1,69.36,69.18,92.87,89.15,69.27000000000001,75.98,HIGH GROWTH,86,70,90.56,99.89,97.9,90.11,100.0,97.25,100.0,99.49,98.36,94.31,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,84.46,Energy,0,81.33,12.87,0,90.26,0,9,A+,11.08,86.7,100.0,0.2598205611651247
HINDZINC,2671457861632.0,MEGA CAP,632.25,19.305344,11.806943,0.398752280405996,39.034,0.52458,0.35292998,0.408,0.675,Misc,Basic Materials,Other Industrial Metals & Mining,2026-05-23,Other Industrial Metals & Mining,0,1,1,86.09,84.4,99.51,95.49,85.245,89.12,ELITE GROWTH,75,90,98.68,99.03,99.83,100.0,100.0,100.0,66.66666666666666,99.8,89.58,97.86,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,92.34,Energy,0,83.65,16.9,1,91.57,1,4,A+,18.84,92.89,93.6391129032258,0.2468295331068685
TCS,8384194019328.0,MEGA CAP,2317.300048828125,17.035213,7.3863587,0.398752280405996,10.389,0.25288,0.18429,0.096,0.122,Technology,Technology,Information Technology Services,2026-05-23,IT Services,0,0,1,38.56,30.47,99.51,85.07,34.515,52.57,SLOW GROWTH,70,60,47.83,96.52,93.04,52.38,96.83,92.06,33.33333333333333,92.99,68.85,79.8,0,BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,70.46,Energy,0,62.28,32.4,0,71.22,0,127,A,31.19,70.02,43.50419384902143,0.22999835715459177
NATIONALUM,751641559040.0,LARGE CAP,409.25,12.2383375,3.4792478,0.2942,0.277,0.4947,0.3132,0.01,-0.167,Misc,Basic Materials,Aluminum,2026-05-23,Aluminum,1,0,0,24.04,17.05,97.26,95.16,20.545,43.35,SLOW GROWTH,100,80,34.19,100.0,99.34,62.5,100.0,100.0,33.33333333333333,98.04,69.34,80.92,0,BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,81.84,Energy,0,74.11,14.73,0,76.89,0,100,A,12.02,71.18,100.0,0.22084747699035603
EMMVEE,182986784768.0,MID CAP,264.29998779296875,15.384167,4.9500866,0.398752280405996,9.745,0.28291,0.21417,0.623,0.625,Misc,Technology,Solar,2026-05-23,Solar,0,1,1,91.69,83.52,99.51,87.34,87.60499999999999,89.96,ELITE GROWTH,75,80,98.95,99.03,99.34,83.33,94.44,97.22,66.66666666666666,99.76,89.6,92.02,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,87.34,Energy,0,82.45,18.89,1,88.33,1,15,A+,19.64,91.61,88.76937984496124,0.22084747699035603
WEBELSOLAR,46841896960.0,SMALL CAP,107.88999938964844,15.45702,11.639874,0.398752280405996,20.729,0.30507,0.28873,1.321,1.443,Misc,Technology,Solar,2026-05-23,Solar,0,1,1,96.63,91.07,99.51,88.91,93.85,94.49,ELITE GROWTH,75,70,99.83,99.03,97.9,100.0,94.44,86.11,66.66666666666666,99.73,89.72,90.97,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,82.36,Energy,0,82.54,20.85,1,86.82,1,17,A+,20.4,92.06,86.03738317757009,0.21435196296122788
SPARC,68074897408.0,SMALL CAP,209.77000427246094,4.3820767,5.0852103,0.398752280405996,41.776,0.8946888523959999,0.82175004,5.354871999999847,0.158,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-23,Drug Manufacturers - Specialty & Generic,0,1,1,99.51,50.02,99.51,99.51,74.765,82.19,HIGH GROWTH,75,70,95.42,99.03,97.9,96.7,98.9,97.25,66.66666666666666,99.33,88.9,88.08,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,82.06,Energy,0,78.16,21.14,1,84.8,1,34,A+,20.68,87.11,80.35977859778598,0.19486542087384356
BEL,3044888281088.0,MEGA CAP,416.54998779296875,50.247284,12.693115,0.27556,0.273,0.2747,0.21956,0.117,0.045,Misc,Industrials,Aerospace & Defense,2026-05-23,Aerospace & Defense,1,0,0,50.08,26.25,96.55,86.87,38.165,54.71,SLOW GROWTH,85,90,67.83,99.67,99.83,43.75,93.75,100.0,33.33333333333333,98.55,74.54,86.15,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,88.27,Energy,0,74.1,17.66,0,81.37,0,53,A+,18.16,77.37,80.76200417536535,0.1883699068447154
ITC,3780140859392.0,MEGA CAP,301.70001220703125,18.28485,5.320331,0.2934,3.292,0.36479,0.26233,-0.05,-0.727,Consumer,Consumer Defensive,Tobacco,2026-05-23,Tobacco,0,0,0,17.71,3.35,97.22,91.93,10.530000000000001,36.01,WEAK GROWTH,75,70,21.74,100.0,86.96,33.33,100.0,83.33,0.0,90.71,54.54,70.95,0,BUY,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,71.31,Energy,0,58.56,33.16,0,64.46,0,307,B,32.36,62.09,37.2242206235012,0.18071299490717924
OSWALGREEN,6502407680.0,MICRO CAP,25.31999969482422,32.46154,0.2637088,0.11742,0.203,0.48172,0.22865999,-0.125,15.5,Financials,Financial Services,Asset Management,2026-05-23,Asset Management Companies,0,0,0,12.07,98.9,50.02,94.95,55.485,58.34,MODERATE GROWTH,78,30,52.26,99.35,24.52,58.06,96.77,19.35,0.0,90.67,59.01,69.64,0,HOLD,WEAK MARKET,-28.25,MODERATE VOLATILITY,RISK ON,52.42,Energy,0,62.02,38.25,0,61.15,0,349,B,32.3,66.24,39.78378378378379,0.18071299490717924
